country,date,cases,new cases,pop,School closure,Border closure,Event ban,Gathering ban,Venue closure,Lockdown,Work ban
Italy,2020-03-13,17660,3497,60.4,1,0,1,1,1,1,0
Luxembourg,2020-03-13,34,17,0.6,0,0,1,0,0,0,0
Netherlands,2020-03-13,806,156,17.2,0,0,1,0,0,0,0
Norway,2020-03-13,996,94,5.3,1,0,1,0,1,0,0
Portugal,2020-03-13,112,57,10.3,0,0,0,0,0,0,0
Sweden,2020-03-13,814,147,10.2,0,0,1,0,0,0,0
United States,2020-03-13,2179,548,327.2,0,1,0,0,0,0,0
Australia,2020-03-14,250,47,25,0,0,0,0,0,0,0
Austria,2020-03-14,655,205,8.8,0,0,1,0,0,0,0
Belgium,2020-03-14,689,197,11.4,0,0,1,0,1,0,0
Canada,2020-03-14,198,54,37.1,0,0,0,0,0,0,0
Switzerland,2020-03-14,1359,841,8.5,0,0,1,0,0,0,0
Germany,2020-03-14,4585,1210,82.9,0,0,1,0,0,0,0
Denmark,2020-03-14,836,39,5.8,0,0,0,0,0,0,0
Spain,2020-03-14,6391,1407,46.7,0,0,1,0,0,0,0
Finland,2020-03-14,225,19,5.5,0,0,0,0,0,0,0
France,2020-03-14,4496,36,67,0,0,1,1,1,0,0
United Kingdom,2020-03-14,1144,1,66.5,0,0,0,0,0,0,0
Greece,2020-03-14,228,103,10.7,1,0,1,0,1,0,0
Ireland,2020-03-14,129,0,4.9,1,0,1,0,0,0,0
Italy,2020-03-14,21157,3590,60.4,1,0,1,1,1,1,0
Luxembourg,2020-03-14,51,8,0.6,0,0,1,0,0,0,0
Netherlands,2020-03-14,962,176,17.2,0,0,1,0,0,0,0
Norway,2020-03-14,1090,131,5.3,1,0,1,0,1,0,0
Portugal,2020-03-14,169,76,10.3,0,0,0,0,0,0,0
Sweden,2020-03-14,961,61,10.2,0,0,1,0,0,0,0
United States,2020-03-14,2727,772,327.2,0,1,0,0,0,0,0
Australia,2020-03-15,297,80,25,0,0,0,0,0,0,0
Austria,2020-03-15,860,158,8.8,0,0,1,0,0,0,0
Belgium,2020-03-15,886,172,11.4,0,0,1,0,1,0,0
Canada,2020-03-15,252,163,37.1,0,0,1,0,0,0,0
Switzerland,2020-03-15,2200,0,8.5,0,0,1,0,0,0,0
Germany,2020-03-15,5795,1477,82.9,0,0,1,0,0,0,0
Denmark,2020-03-15,875,58,5.8,0,0,0,0,0,0,0
Spain,2020-03-15,7798,2144,46.7,0,0,1,1,1,1,0
Finland,2020-03-15,244,33,5.5,0,0,0,0,0,0,0
France,2020-03-15,4532,2151,67,0,0,1,1,1,0,0
United Kingdom,2020-03-15,1145,406,66.5,0,0,0,0,0,0,0
Greece,2020-03-15,331,0,10.7,1,0,1,0,1,0,0
Ireland,2020-03-15,129,40,4.9,1,0,1,0,1,0,0
Italy,2020-03-15,24747,3233,60.4,1,0,1,1,1,1,0
Luxembourg,2020-03-15,59,18,0.6,0,0,1,0,0,0,0
Netherlands,2020-03-15,1138,278,17.2,0,0,1,0,0,0,0
Norway,2020-03-15,1221,112,5.3,1,0,1,0,1,0,0
Portugal,2020-03-15,245,86,10.3,0,0,1,0,0,0,0
Sweden,2020-03-15,1022,81,10.2,0,0,1,0,0,0,0
United States,2020-03-15,3499,1133,327.2,0,1,0,0,0,0,0
Australia,2020-03-16,377,75,25,0,0,1,0,0,0,0
Austria,2020-03-16,1018,314,8.8,1,0,1,1,1,1,0
Belgium,2020-03-16,1058,185,11.4,1,0,1,0,1,0,0
Canada,2020-03-16,415,63,37.1,0,0,1,0,0,0,0
Switzerland,2020-03-16,2200,500,8.5,1,0,1,0,0,0,0
Germany,2020-03-16,7272,1985,82.9,1,0,1,0,1,0,0
Denmark,2020-03-16,933,92,5.8,1,1,1,0,0,0,0
Spain,2020-03-16,9942,1806,46.7,1,0,1,1,1,1,0
Finland,2020-03-16,277,44,5.5,1,0,1,1,1,0,0
France,2020-03-16,6683,1032,67,1,0,1,1,1,0,0
United Kingdom,2020-03-16,1551,409,66.5,0,0,1,0,0,0,0
Greece,2020-03-16,331,56,10.7,1,0,1,0,1,0,0
Ireland,2020-03-16,169,54,4.9,1,0,1,0,1,0,0
Italy,2020-03-16,27980,3526,60.4,1,0,1,1,1,1,0
Luxembourg,2020-03-16,77,63,0.6,1,0,1,0,1,0,0
Netherlands,2020-03-16,1416,295,17.2,1,0,1,0,1,0,0
Norway,2020-03-16,1333,130,5.3,1,1,1,0,1,0,0
Portugal,2020-03-16,331,117,10.3,1,0,1,0,0,0,0
Sweden,2020-03-16,1103,87,10.2,0,0,1,0,0,0,0
United States,2020-03-16,4632,1789,327.2,0,1,1,1,0,0,0
Australia,2020-03-17,452,116,25,0,0,1,0,0,0,0
Austria,2020-03-17,1332,314,8.8,1,0,1,1,1,1,0
Belgium,2020-03-17,1243,243,11.4,1,0,1,0,1,0,0
Canada,2020-03-17,478,179,37.1,1,0,1,0,0,0,0
Switzerland,2020-03-17,2700,328,8.5,1,0,1,0,1,0,0
Germany,2020-03-17,9257,3070,82.9,1,0,1,0,1,0,0
Denmark,2020-03-17,1025,91,5.8,1,1,1,0,0,0,0
Spain,2020-03-17,11748,2162,46.7,1,1,1,1,1,1,0
Finland,2020-03-17,321,15,5.5,1,0,1,1,1,0,0
France,2020-03-17,7715,1409,67,1,1,1,1,1,1,1
United Kingdom,2020-03-17,1960,682,66.5,0,0,1,0,0,0,0
Greece,2020-03-17,387,31,10.7,1,0,1,0,1,0,0
Ireland,2020-03-17,223,69,4.9,1,0,1,0,1,0,0
Italy,2020-03-17,31506,4207,60.4,1,0,1,1,1,1,0
Luxembourg,2020-03-17,140,63,0.6,1,0,1,1,1,1,0
Netherlands,2020-03-17,1711,347,17.2,1,0,1,0,1,0,0
Norway,2020-03-17,1463,87,5.3,1,1,1,0,1,0,0
Portugal,2020-03-17,448,0,10.3,1,0,1,0,0,0,0
Sweden,2020-03-17,1190,89,10.2,0,0,1,0,0,0,0
United States,2020-03-17,6421,1362,327.2,1,1,1,1,0,0,0
Australia,2020-03-18,568,113,25,0,0,1,0,0,0,0
Austria,2020-03-18,1646,367,8.8,1,0,1,1,1,1,0
Belgium,2020-03-18,1486,309,11.4,1,0,1,1,1,1,0
Canada,2020-03-18,657,143,37.1,1,0,1,0,0,0,0
Switzerland,2020-03-18,3028,1047,8.5,1,0,1,0,1,0,0
Germany,2020-03-18,12327,2993,82.9,1,0,1,0,1,0,0
Denmark,2020-03-18,1116,109,5.8,1,1,1,1,1,0,0
Spain,2020-03-18,13910,4053,46.7,1,1,1,1,1,1,0
Finland,2020-03-18,336,64,5.5,1,0,1,1,1,0,0
France,2020-03-18,9124,1846,67,1,1,1,1,1,1,1
United Kingdom,2020-03-18,2642,74,66.5,0,0,1,0,0,0,0
Greece,2020-03-18,418,0,10.7,1,0,1,1,1,0,0
Ireland,2020-03-18,292,265,4.9,1,0,1,0,1,0,0
Italy,2020-03-18,35713,5322,60.4,1,0,1,1,1,1,0
Luxembourg,2020-03-18,203,132,0.6,1,0,1,1,1,1,1
Netherlands,2020-03-18,2058,409,17.2,1,0,1,0,1,0,0
Norway,2020-03-18,1550,196,5.3,1,1,1,0,1,0,0
Portugal,2020-03-18,448,337,10.3,1,0,1,0,0,0,0
Sweden,2020-03-18,1279,160,10.2,0,0,1,0,0,0,0
United States,2020-03-18,7783,5964,327.2,1,1,1,1,0,0,0
Australia,2020-03-19,681,110,25,0,0,1,0,0,0,0
Austria,2020-03-19,2013,375,8.8,1,1,1,1,1,1,0
Belgium,2020-03-19,1795,462,11.4,1,0,1,1,1,1,0
Canada,2020-03-19,800,143,37.1,1,0,1,0,0,0,0
Switzerland,2020-03-19,4075,1219,8.5,1,0,1,0,1,0,0
Germany,2020-03-19,15320,4528,82.9,1,0,1,0,1,0,0
Denmark,2020-03-19,1225,112,5.8,1,1,1,1,1,0,0
Spain,2020-03-19,17963,2447,46.7,1,1,1,1,1,1,0
Finland,2020-03-19,400,50,5.5,1,1,1,1,1,0,0
France,2020-03-19,10970,1788,67,1,1,1,1,1,1,1
United Kingdom,2020-03-19,2716,1298,66.5,0,0,1,0,0,0,0
Greece,2020-03-19,418,77,10.7,1,0,1,1,1,0,0
Ireland,2020-03-19,557,126,4.9,1,0,1,0,1,0,0
Italy,2020-03-19,41035,5986,60.4,1,0,1,1,1,1,0
Luxembourg,2020-03-19,335,149,0.6,1,0,1,1,1,1,1
Netherlands,2020-03-19,2467,536,17.2,1,0,1,0,1,0,0
Norway,2020-03-19,1746,168,5.3,1,1,1,0,1,0,0
Portugal,2020-03-19,785,235,10.3,1,0,1,0,0,0,0
Sweden,2020-03-19,1439,200,10.2,0,0,1,0,0,0,0
United States,2020-03-19,13747,5526,327.2,1,1,1,1,1,0,0
Australia,2020-03-20,791,280,25,0,1,1,0,0,0,0
Austria,2020-03-20,2388,426,8.8,1,1,1,1,1,1,0
Belgium,2020-03-20,2257,558,11.4,1,1,1,1,1,1,0
Canada,2020-03-20,943,334,37.1,1,0,1,0,1,0,0
Switzerland,2020-03-20,5294,1281,8.5,1,0,1,1,1,0,0
Germany,2020-03-20,19848,2365,82.9,1,0,1,0,1,0,0
Denmark,2020-03-20,1337,83,5.8,1,1,1,1,1,0,0
Spain,2020-03-20,20410,4964,46.7,1,1,1,1,1,1,0
Finland,2020-03-20,450,73,5.5,1,1,1,1,1,0,0
France,2020-03-20,12758,1705,67,1,1,1,1,1,1,1
United Kingdom,2020-03-20,4014,1053,66.5,0,0,1,0,1,0,0
Greece,2020-03-20,495,35,10.7,1,0,1,1,1,0,0
Ireland,2020-03-20,683,102,4.9,1,0,1,0,1,0,0
Italy,2020-03-20,47021,6557,60.4,1,0,1,1,1,1,0
Luxembourg,2020-03-20,484,186,0.6,1,0,1,1,1,1,1
Netherlands,2020-03-20,3003,637,17.2,1,0,1,0,1,0,0
Norway,2020-03-20,1914,204,5.3,1,1,1,0,1,0,0
Portugal,2020-03-20,1020,260,10.3,1,0,1,0,0,0,0
Sweden,2020-03-20,1639,124,10.2,0,0,1,0,0,0,0
United States,2020-03-20,19273,6327,327.2,1,1,1,1,1,0,0
Australia,2020-03-21,1071,478,25,0,1,1,0,0,0,0
Austria,2020-03-21,2814,768,8.8,1,1,1,1,1,1,0
Belgium,2020-03-21,2815,586,11.4,1,1,1,1,1,1,0
Canada,2020-03-21,1277,192,37.1,1,1,1,0,1,0,0
Switzerland,2020-03-21,6575,899,8.5,1,0,1,1,1,0,0
Germany,2020-03-21,22213,2660,82.9,1,0,1,0,1,0,0
Denmark,2020-03-21,1420,94,5.8,1,1,1,1,1,0,0
Spain,2020-03-21,25374,3394,46.7,1,1,1,1,1,1,0
Finland,2020-03-21,523,103,5.5,1,1,1,1,1,0,0
France,2020-03-21,14463,1780,67,1,1,1,1,1,1,1
United Kingdom,2020-03-21,5067,678,66.5,0,0,1,0,1,0,0
Greece,2020-03-21,530,94,10.7,1,0,1,1,1,0,0
Ireland,2020-03-21,785,121,4.9,1,0,1,0,1,0,0
Italy,2020-03-21,53578,5560,60.4,1,0,1,1,1,1,0
Luxembourg,2020-03-21,670,128,0.6,1,0,1,1,1,1,1
Netherlands,2020-03-21,3640,577,17.2,1,0,1,0,1,0,0
Norway,2020-03-21,2118,267,5.3,1,1,1,0,1,0,0
Portugal,2020-03-21,1280,320,10.3,1,0,1,0,0,0,0
Sweden,2020-03-21,1763,171,10.2,0,0,1,0,0,0,0
United States,2020-03-21,25600,7676,327.2,1,1,1,1,1,0,0
Australia,2020-03-22,1549,133,25,0,1,1,0,0,0,0
Austria,2020-03-22,3582,892,8.8,1,1,1,1,1,1,0
Belgium,2020-03-22,3401,342,11.4,1,1,1,1,1,1,0
Canada,2020-03-22,1469,619,37.1,1,1,1,0,1,0,0
Switzerland,2020-03-22,7474,1321,8.5,1,0,1,1,1,0,0
Germany,2020-03-22,24873,4183,82.9,1,0,1,0,1,0,0
Denmark,2020-03-22,1514,58,5.8,1,1,1,1,1,0,0
Spain,2020-03-22,28768,6368,46.7,1,1,1,1,1,1,0
Finland,2020-03-22,626,74,5.5,1,1,1,1,1,0,0
France,2020-03-22,16243,3880,67,1,1,1,1,1,1,1
United Kingdom,2020-03-22,5745,981,66.5,0,0,1,0,1,0,0
Greece,2020-03-22,624,71,10.7,1,0,1,1,1,0,0
Ireland,2020-03-22,906,219,4.9,1,0,1,0,1,0,0
Italy,2020-03-22,59138,4789,60.4,1,0,1,1,1,1,1
Luxembourg,2020-03-22,798,77,0.6,1,0,1,1,1,1,1
Netherlands,2020-03-22,4217,547,17.2,1,0,1,0,1,0,0
Norway,2020-03-22,2385,236,5.3,1,1,1,0,1,0,0
Portugal,2020-03-22,1600,460,10.3,1,0,1,1,1,1,0
Sweden,2020-03-22,1934,112,10.2,0,0,1,0,0,0,0
United States,2020-03-22,33276,10567,327.2,1,1,1,1,1,0,0
Australia,2020-03-23,1682,362,25,0,1,1,0,1,0,0
Austria,2020-03-23,4474,809,8.8,1,1,1,1,1,1,0
Belgium,2020-03-23,3743,526,11.4,1,1,1,1,1,1,0
Canada,2020-03-23,2088,702,37.1,1,1,1,0,1,0,0
Switzerland,2020-03-23,8795,1082,8.5,1,0,1,1,1,0,0
Germany,2020-03-23,29056,3930,82.9,1,0,1,1,1,0,0
Denmark,2020-03-23,1572,146,5.8,1,1,1,1,1,0,0
Spain,2020-03-23,35136,4749,46.7,1,1,1,1,1,1,0
Finland,2020-03-23,700,92,5.5,1,1,1,1,1,0,0
France,2020-03-23,20123,2499,67,1,1,1,1,1,1,1
United Kingdom,2020-03-23,6726,1438,66.5,1,0,1,1,1,1,0
Greece,2020-03-23,695,48,10.7,1,0,1,1,1,1,0
Ireland,2020-03-23,1125,204,4.9,1,0,1,0,1,0,0
Italy,2020-03-23,63927,5249,60.4,1,0,1,1,1,1,1
Luxembourg,2020-03-23,875,224,0.6,1,0,1,1,1,1,1
Netherlands,2020-03-23,4764,816,17.2,1,0,1,1,1,0,0
Norway,2020-03-23,2621,242,5.3,1,1,1,0,1,0,0
Portugal,2020-03-23,2060,302,10.3,1,0,1,1,1,1,0
Sweden,2020-03-23,2046,240,10.2,0,0,1,0,0,0,0
United States,2020-03-23,43843,9893,327.2,1,1,1,1,1,0,0
Australia,2020-03-24,2044,320,25,0,1,1,0,1,0,0
Austria,2020-03-24,5283,305,8.8,1,1,1,1,1,1,0
Belgium,2020-03-24,4269,668,11.4,1,1,1,1,1,1,0
Canada,2020-03-24,2790,461,37.1,1,1,1,0,1,0,0
Switzerland,2020-03-24,9877,1020,8.5,1,0,1,1,1,0,0
Germany,2020-03-24,32986,4337,82.9,1,0,1,1,1,0,0
Denmark,2020-03-24,1718,144,5.8,1,1,1,1,1,0,0
Spain,2020-03-24,39885,9630,46.7,1,1,1,1,1,1,0
Finland,2020-03-24,792,88,5.5,1,1,1,1,1,0,0
France,2020-03-24,22622,2978,67,1,1,1,1,1,1,1
United Kingdom,2020-03-24,8164,1476,66.5,1,0,1,1,1,1,0
Greece,2020-03-24,743,78,10.7,1,0,1,1,1,1,0
Ireland,2020-03-24,1329,235,4.9,1,0,1,0,1,0,0
Italy,2020-03-24,69176,5210,60.4,1,0,1,1,1,1,1
Luxembourg,2020-03-24,1099,234,0.6,1,0,1,1,1,1,1
Netherlands,2020-03-24,5580,858,17.2,1,0,1,1,1,0,0
Norway,2020-03-24,2863,221,5.3,1,1,1,0,1,0,0
Portugal,2020-03-24,2362,633,10.3,1,0,1,1,1,1,0
Sweden,2020-03-24,2286,240,10.2,0,0,1,0,0,0,0
United States,2020-03-24,53736,12042,327.2,1,1,1,1,1,0,0
Australia,2020-03-25,2364,446,25,0,1,1,0,1,0,0
Austria,2020-03-25,5588,1321,8.8,1,1,1,1,1,1,0
Belgium,2020-03-25,4937,1298,11.4,1,1,1,1,1,1,0
Canada,2020-03-25,3251,791,37.1,1,1,1,0,1,0,0
Switzerland,2020-03-25,10897,914,8.5,1,1,1,1,1,0,0
Germany,2020-03-25,37323,6615,82.9,1,0,1,1,1,0,0
Denmark,2020-03-25,1862,161,5.8,1,1,1,1,1,0,0
Spain,2020-03-25,49515,8271,46.7,1,1,1,1,1,1,0
Finland,2020-03-25,880,78,5.5,1,1,1,1,1,0,0
France,2020-03-25,25600,3951,67,1,1,1,1,1,1,1
United Kingdom,2020-03-25,9640,2172,66.5,1,0,1,1,1,1,0
Greece,2020-03-25,821,71,10.7,1,0,1,1,1,1,0
Ireland,2020-03-25,1564,255,4.9,1,0,1,0,1,0,0
Italy,2020-03-25,74386,6203,60.4,1,0,1,1,1,1,1
Luxembourg,2020-03-25,1333,120,0.6,1,0,1,1,1,1,1
Netherlands,2020-03-25,6438,1030,17.2,1,0,1,1,1,0,0
Norway,2020-03-25,3084,285,5.3,1,1,1,0,1,0,0
Portugal,2020-03-25,2995,549,10.3,1,0,1,1,1,1,0
Sweden,2020-03-25,2526,314,10.2,0,0,1,0,0,0,0
United States,2020-03-25,65778,18058,327.2,1,1,1,1,1,0,0
Australia,2020-03-26,2810,333,25,0,1,1,0,1,0,0
Austria,2020-03-26,6909,748,8.8,1,1,1,1,1,1,0
Belgium,2020-03-26,6235,1049,11.4,1,1,1,1,1,1,0
Canada,2020-03-26,4042,640,37.1,1,1,1,0,1,0,0
Switzerland,2020-03-26,11811,1117,8.5,1,1,1,1,1,0,0
Germany,2020-03-26,43938,6933,82.9,1,0,1,1,1,0,0
Denmark,2020-03-26,2023,177,5.8,1,1,1,1,1,0,0
Spain,2020-03-26,57786,7933,46.7,1,1,1,1,1,1,0
Finland,2020-03-26,958,83,5.5,1,1,1,1,1,0,0
France,2020-03-26,29551,3851,67,1,1,1,1,1,1,1
United Kingdom,2020-03-26,11812,2933,66.5,1,0,1,1,1,1,0
Greece,2020-03-26,892,74,10.7,1,0,1,1,1,1,0
Ireland,2020-03-26,1819,302,4.9,1,0,1,0,1,0,0
Italy,2020-03-26,80589,5909,60.4,1,1,1,1,1,1,1
Luxembourg,2020-03-26,1453,152,0.6,1,0,1,1,1,1,1
Netherlands,2020-03-26,7468,1179,17.2,1,0,1,1,1,0,0
Norway,2020-03-26,3369,386,5.3,1,1,1,0,1,0,0
Portugal,2020-03-26,3544,724,10.3,1,0,1,1,1,1,0
Sweden,2020-03-26,2840,229,10.2,0,0,1,0,0,0,0
United States,2020-03-26,83836,17821,327.2,1,1,1,1,1,0,0
Australia,2020-03-27,3143,497,25,0,1,1,0,1,0,0
Austria,2020-03-27,7657,614,8.8,1,1,1,1,1,1,0
Belgium,2020-03-27,7284,1850,11.4,1,1,1,1,1,1,0
Canada,2020-03-27,4682,894,37.1,1,1,1,0,1,0,0
Switzerland,2020-03-27,12928,1148,8.5,1,1,1,1,1,0,0
Germany,2020-03-27,50871,6824,82.9,1,0,1,1,1,0,0
Denmark,2020-03-27,2200,166,5.8,1,1,1,1,1,0,0
Spain,2020-03-27,65719,7516,46.7,1,1,1,1,1,1,0
Finland,2020-03-27,1041,126,5.5,1,1,1,1,1,0,0
France,2020-03-27,33402,4703,67,1,1,1,1,1,1,1
United Kingdom,2020-03-27,14745,2567,66.5,1,0,1,1,1,1,0
Greece,2020-03-27,966,95,10.7,1,0,1,1,1,1,0
Ireland,2020-03-27,2121,294,4.9,1,0,1,0,1,0,0
Italy,2020-03-27,86498,5974,60.4,1,1,1,1,1,1,1
Luxembourg,2020-03-27,1605,226,0.6,1,0,1,1,1,1,1
Netherlands,2020-03-27,8647,1172,17.2,1,0,1,1,1,0,0
Norway,2020-03-27,3755,260,5.3,1,1,1,0,1,0,0
Portugal,2020-03-27,4268,902,10.3,1,0,1,1,1,1,0
Sweden,2020-03-27,3069,378,10.2,0,0,1,1,0,0,0
United States,2020-03-27,101657,19808,327.2,1,1,1,1,1,0,0
Australia,2020-03-28,3640,344,25,0,1,1,0,1,0,0
Austria,2020-03-28,8271,517,8.8,1,1,1,1,1,1,0
Belgium,2020-03-28,9134,1702,11.4,1,1,1,1,1,1,0
Canada,2020-03-28,5576,704,37.1,1,1,1,1,1,0,0
Switzerland,2020-03-28,14076,753,8.5,1,1,1,1,1,0,0
Germany,2020-03-28,57695,4400,82.9,1,0,1,1,1,0,0
Denmark,2020-03-28,2366,198,5.8,1,1,1,1,1,0,0
Spain,2020-03-28,73235,6875,46.7,1,1,1,1,1,1,0
Finland,2020-03-28,1167,73,5.5,1,1,1,1,1,0,0
France,2020-03-28,38105,2603,67,1,1,1,1,1,1,1
United Kingdom,2020-03-28,17312,2468,66.5,1,0,1,1,1,1,0
Greece,2020-03-28,1061,95,10.7,1,0,1,1,1,1,0
Ireland,2020-03-28,2415,200,4.9,1,0,1,1,1,1,1
Italy,2020-03-28,92472,5217,60.4,1,1,1,1,1,1,1
Luxembourg,2020-03-28,1831,119,0.6,1,0,1,1,1,1,1
Netherlands,2020-03-28,9819,1111,17.2,1,0,1,1,1,0,0
Norway,2020-03-28,4015,269,5.3,1,1,1,0,1,0,0
Portugal,2020-03-28,5170,792,10.3,1,0,1,1,1,1,0
Sweden,2020-03-28,3447,253,10.2,0,0,1,1,0,0,0
United States,2020-03-28,121465,19444,327.2,1,1,1,1,1,0,0
Australia,2020-03-29,3984,377,25,0,1,1,1,1,0,0
Austria,2020-03-29,8788,830,8.8,1,1,1,1,1,1,0
Belgium,2020-03-29,10836,1063,11.4,1,1,1,1,1,1,0
Canada,2020-03-29,6280,1118,37.1,1,1,1,1,1,0,0
Switzerland,2020-03-29,14829,1093,8.5,1,1,1,1,1,0,0
Germany,2020-03-29,62095,4790,82.9,1,0,1,1,1,0,0
Denmark,2020-03-29,2564,191,5.8,1,1,1,1,1,0,0
Spain,2020-03-29,80110,7846,46.7,1,1,1,1,1,1,0
Finland,2020-03-29,1240,112,5.5,1,1,1,1,1,0,0
France,2020-03-29,40708,4462,67,1,1,1,1,1,1,1
United Kingdom,2020-03-29,19780,2673,66.5,1,0,1,1,1,1,0
Greece,2020-03-29,1156,56,10.7,1,0,1,1,1,1,0
Ireland,2020-03-29,2615,295,4.9,1,0,1,1,1,1,1
Italy,2020-03-29,97689,4050,60.4,1,1,1,1,1,1,1
Luxembourg,2020-03-29,1950,38,0.6,1,0,1,1,1,1,1
Netherlands,2020-03-29,10930,887,17.2,1,0,1,1,1,0,0
Norway,2020-03-29,4284,161,5.3,1,1,1,0,1,0,0
Portugal,2020-03-29,5962,446,10.3,1,0,1,1,1,1,0
Sweden,2020-03-29,3700,328,10.2,0,0,1,1,0,0,0
United States,2020-03-29,140909,20922,327.2,1,1,1,1,1,0,0
Australia,2020-03-30,4361,198,25,0,1,1,1,1,0,0
Austria,2020-03-30,9618,562,8.8,1,1,1,1,1,1,0
Belgium,2020-03-30,11899,876,11.4,1,1,1,1,1,1,0
Canada,2020-03-30,7398,1129,37.1,1,1,1,1,1,0,0
Switzerland,2020-03-30,15922,683,8.5,1,1,1,1,1,0,0
Germany,2020-03-30,66885,4923,82.9,1,0,1,1,1,0,0
Denmark,2020-03-30,2755,284,5.8,1,1,1,1,1,0,0
Spain,2020-03-30,87956,7967,46.7,1,1,1,1,1,1,1
Finland,2020-03-30,1352,66,5.5,1,1,1,1,1,0,0
France,2020-03-30,45170,7657,67,1,1,1,1,1,1,1
United Kingdom,2020-03-30,22453,3028,66.5,1,0,1,1,1,1,0
Greece,2020-03-30,1212,102,10.7,1,0,1,1,1,1,0
Ireland,2020-03-30,2910,325,4.9,1,0,1,1,1,1,1
Italy,2020-03-30,101739,4053,60.4,1,1,1,1,1,1,1
Luxembourg,2020-03-30,1988,190,0.6,1,0,1,1,1,1,1
Netherlands,2020-03-30,11817,850,17.2,1,0,1,1,1,0,0
Norway,2020-03-30,4445,196,5.3,1,1,1,0,1,0,0
Portugal,2020-03-30,6408,1035,10.3,1,0,1,1,1,1,0
Sweden,2020-03-30,4028,407,10.2,0,0,1,1,0,0,0
United States,2020-03-30,161831,26341,327.2,1,1,1,1,1,0,0
Australia,2020-03-31,4559,303,25,0,1,1,1,1,0,0
Austria,2020-03-31,10180,531,8.8,1,1,1,1,1,1,0
Belgium,2020-03-31,12775,1189,11.4,1,1,1,1,1,1,0
Canada,2020-03-31,8527,1033,37.1,1,1,1,1,1,0,0
Switzerland,2020-03-31,16605,1163,8.5,1,1,1,1,1,0,0
Germany,2020-03-31,71808,6064,82.9,1,0,1,1,1,0,0
Denmark,2020-03-31,3039,251,5.8,1,1,1,1,1,0,0
Spain,2020-03-31,95923,8195,46.7,1,1,1,1,1,1,1
Finland,2020-03-31,1418,28,5.5,1,1,1,1,1,0,0
France,2020-03-31,52827,4922,67,1,1,1,1,1,1,1
United Kingdom,2020-03-31,25481,4384,66.5,1,0,1,1,1,1,0
Greece,2020-03-31,1314,101,10.7,1,0,1,1,1,1,0
Ireland,2020-03-31,3235,212,4.9,1,0,1,1,1,1,1
Italy,2020-03-31,105792,4782,60.4,1,1,1,1,1,1,1
Luxembourg,2020-03-31,2178,141,0.6,1,0,1,1,1,1,1
Netherlands,2020-03-31,12667,1029,17.2,1,0,1,1,1,0,0
Norway,2020-03-31,4641,222,5.3,1,1,1,0,1,0,0
Portugal,2020-03-31,7443,808,10.3,1,0,1,1,1,1,0
Sweden,2020-03-31,4435,512,10.2,0,0,1,1,0,0,0
United States,2020-03-31,188172,25200,327.2,1,1,1,1,1,0,0
Australia,2020-04-01,4862,254,25,0,1,1,1,1,0,0
Austria,2020-04-01,10711,418,8.8,1,1,1,1,1,1,0
Belgium,2020-04-01,13964,1384,11.4,1,1,1,1,1,1,0
Canada,2020-04-01,9560,1724,37.1,1,1,1,1,1,0,0
Switzerland,2020-04-01,17768,1059,8.5,1,1,1,1,1,0,0
Germany,2020-04-01,77872,6922,82.9,1,0,1,1,1,0,0
Denmark,2020-04-01,3290,283,5.8,1,1,1,1,1,0,0
Spain,2020-04-01,104118,7947,46.7,1,1,1,1,1,1,1
Finland,2020-04-01,1446,72,5.5,1,1,1,1,1,0,0
France,2020-04-01,57749,2180,67,1,1,1,1,1,1,1
United Kingdom,2020-04-01,29865,4308,66.5,1,0,1,1,1,1,0
Greece,2020-04-01,1415,129,10.7,1,0,1,1,1,1,0
Ireland,2020-04-01,3447,402,4.9,1,0,1,1,1,1,1
Italy,2020-04-01,110574,4668,60.4,1,1,1,1,1,1,1
Luxembourg,2020-04-01,2319,168,0.6,1,0,1,1,1,1,1
Netherlands,2020-04-01,13696,1092,17.2,1,0,1,1,1,0,0
Norway,2020-04-01,4863,284,5.3,1,1,1,0,1,0,0
Portugal,2020-04-01,8251,783,10.3,1,0,1,1,1,1,0
Sweden,2020-04-01,4947,621,10.2,0,0,1,1,0,0,0
United States,2020-04-01,213372,30390,327.2,1,1,1,1,1,1,0
Australia,2020-04-02,5116,214,25,0,1,1,1,1,0,0
Austria,2020-04-02,11129,395,8.8,1,1,1,1,1,1,0
Belgium,2020-04-02,15348,1422,11.4,1,1,1,1,1,1,0
Canada,2020-04-02,11284,1153,37.1,1,1,1,1,1,0,0
Switzerland,2020-04-02,18827,779,8.5,1,1,1,1,1,0,0
Germany,2020-04-02,84794,6365,82.9,1,0,1,1,1,0,0
Denmark,2020-04-02,3573,373,5.8,1,1,1,1,1,0,0
Spain,2020-04-02,112065,7134,46.7,1,1,1,1,1,1,1
Finland,2020-04-02,1518,97,5.5,1,1,1,1,1,0,0
France,2020-04-02,59929,5273,67,1,1,1,1,1,1,1
United Kingdom,2020-04-02,34173,4516,66.5,1,0,1,1,1,1,0
Greece,2020-04-02,1544,69,10.7,1,0,1,1,1,1,0
Ireland,2020-04-02,3849,424,4.9,1,0,1,1,1,1,1
Italy,2020-04-02,115242,4585,60.4,1,1,1,1,1,1,1
Luxembourg,2020-04-02,2487,125,0.6,1,0,1,1,1,1,1
Netherlands,2020-04-02,14788,1033,17.2,1,0,1,1,1,0,0
